"pagename","visid"
"jeep:us:2017:grand-cherokee:srt-srt:landing","1006606692657358487_1501780754823277284"
"jeep:us:2018:grand-cherokee:landing,jeep:us:2018:wrangler:landing,jeep:us:homepage,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior,jeep:us:shopping-tools:build-and-price:step6-view-summary,jeep:us:shopping-tools:build-my-own:vehicle-selector,jeep:us:shopping-tools:dealer-locator,jeep:us:shopping-tools:search-new-inventory","100665584747861914_8773633281270175190"
"jeep:us:2018:compass:landing","1006738513331866763_7399023433942001968"
"jeep:us:shopping-tools:incentives:featured-deals,jeep:us:shopping-tools:incentives:offers-by-model,jeep:us:shopping-tools:incentives:vehicle-selector","1006854067376857546_2777813465497865000"
"jeep:us:drlp:2018:cherokee:landing,jeep:us:drlp:2018:cherokee:limited:landing:dealer-locator","1007022321929135022_6811217483423904625"
"jeep:us:2018:cherokee:landing,jeep:us:2018:compass:landing,jeep:us:homepage,jeep:us:shopping-tools:build-and-price:step1-select-model","1007041599113424352_3523783114190447692"
"jeep:us:drlp:homepage,jeep:us:drlp:homepage:dealer-locator,jeep:us:incentives:bonus-incentives,jeep:us:shopping-tools:search-new-inventory,jeep:us:shopping-tools:search-new-inventory:vehicle-selector,jeep:us:shopping-tools:search-new-inventory:vindetails","100721762191273071_7353409131580298735"
"jeep:us:2018:wrangler-jk:landing,jeep:us:shopping-tools:search-new-inventory","1007224434436986227_4224615287775039233"
"jeep:us:homepage","1007256182892863036_2437228463865409554"
"jeep:us:shopping-tools:build-and-price:step1-select-model","100726860971397191_415407346166823116"
"jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:incentives:featured-deals","1007405327086235512_417820904190765128"
"jeep:us:shopping-tools:build-and-price:step1-select-model","1007421453673229387_486800237185694800"
"jeep:us:2018:compass:landing","1007456174884440742_5273104408397367729"
"jeep:us:2018:cherokee:gallery","1007462392840367240_6713290889349785589"
"jeep:us:homepage,jeep:us:shopping-tools:dealer-locator","1007462903539350205_524402769015666303"
"jeep:us:lifestyle:home,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior","100746529765317909_1021918503527447766"
"jeep:us:2018:cherokee:landing","1007564802030963906_4372455557230814704"
"jeep:us:2018:grand-cherokee:landing","1007587955423876907_2652949117753411192"
"jeep:us:2018:wrangler:landing,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step6-view-summary,jeep:us:shopping-tools:incentives:featured-deals","1007745212487943631_4212543632962665525"
"jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:incentives:featured-deals,jeep:us:shopping-tools:incentives:offers-by-model","1007745374557803364_1106557152759970686"
":us:app:build-and-price,jeep:us:2018:grand-cherokee:landing,jeep:us:drlp:homepage,jeep:us:drlp:homepage:dealer-locator,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step6-view-summary,jeep:us:shopping-tools:build-my-own:vehicle-selector,jeep:us:shopping-tools:payment-calculator,jeep:us:shopping-tools:search-new-inventory,jeep:us:shopping-tools:search-new-inventory:vehicle-selector,jeep:us:shopping-tools:search-new-inventory:vindetails","1007783991570225843_6321336666034533592"
"jeep:us:shopping-tools:build-and-price:step1-select-model","1008093501807020686_8296950957484612946"
"jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior","1008245174129196778_1129407723675976652"
"jeep:us:2018:grand-cherokee:landing","100826311085020336_2774016200001185551"
"jeep:us:2017:renegade:landing,jeep:us:homepage","100829751644148880_3335839896137839091"
"jeep:us:2018:wrangler:landing,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain","100829941597753108_4700168753782042435"
"jeep:us:2018:grand-cherokee:landing,jeep:us:browser-upgrade,jeep:us:homepage,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior,jeep:us:shopping-tools:build-and-price:step6-view-summary,jeep:us:shopping-tools:dealer-locator,jeep:us:shopping-tools:search-new-inventory,jeep:us:shopping-tools:search-new-inventory:vindetails","1008304984322315603_4256634501696857778"
"jeep:us:2018:compass:landing,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages","1008311112010259827_1169758740266570086"
"jeep:us:2018:wrangler:landing,jeep:us:homepage,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior,jeep:us:shopping-tools:build-and-price:step6-view-summary","1008420543783178572_7782016742599934415"
"jeep:us:2018:wrangler:capability,jeep:us:2018:wrangler:exterior,jeep:us:2018:wrangler:interior,jeep:us:2018:wrangler:safety-security,jeep:us:homepage,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior,jeep:us:shopping-tools:build-my-own:vehicle-selector,jeep:us:shopping-tools:model-compare:detailed-chart","1008598052994016296_5876776200262820680"
"jeep:us:2018:compass:landing,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-my-own:vehicle-selector","1008601913318691830_4477184015771786841"
"jeep:us:2018:wrangler-jk:landing,jeep:us:2018:wrangler:landing,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior,jeep:us:shopping-tools:build-and-price:step6-view-summary","1008883985934624543_5566456808690269916"
"jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior,jeep:us:shopping-tools:build-and-price:step6-view-summary,jeep:us:shopping-tools:build-my-own:vehicle-selector","1009050561238316757_8999943855260639724"
"jeep:us:drlp:2018:wrangler:landing,jeep:us:drlp:2018:wrangler:landing:dealer-locator","1009085862873793956_3808317294149002188"
"jeep:us:2018:grand-cherokee:landing","1009191530978106372_924024235603000806"
"jeep:us:2018:compass:landing","1009396498811503303_1052065882634361175"
"jeep:us:2018:wrangler:landing,jeep:us:homepage,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior,jeep:us:shopping-tools:build-and-price:step6-view-summary,jeep:us:shopping-tools:payment-calculator","1009423170187870125_5569990416975403512"
"jeep:us:2017:renegade:landing","100956098415484521_709990811868887696"
"jeep:us:2017:wrangler-jk:limited-editions,jeep:us:exit,jeep:us:shopping-tools:build-and-price:step1-select-model,jeep:us:shopping-tools:build-and-price:step2-pick-powertrain,jeep:us:shopping-tools:build-and-price:step3-add-packages,jeep:us:shopping-tools:build-and-price:step4-choose-exterior,jeep:us:shopping-tools:build-and-price:step5-choose-interior,jeep:us:shopping-tools:build-and-price:step6-view-summary,jeep:us:shopping-tools:build-my-own:vehicle-selector,jeep:us:shopping-tools:payment-calculator","1009658546822798000_8191377723766136059"
